place,location,description
Hazaribagh National Park,hazaribagh," Located in the state of Jharkhand, the Hazaribagh National Park is one of the oldest wildlife sanctuaries in India. It was established in 1954 with an objective of conserving wildlife and providing a home for rare and endangered species of flora and fauna. The landscape is full of steep hills, spectacular countryside, thick tropical forest and lovely meadows. The Hazaribagh National Park is located at a distance of 19 km from Hazaribagh and 135 km away from Ranchi. The best part about visiting this national park and wildlife sanctuary is that all its interiors are very well-connected by internal roads of 111 km that are constructed in such a way that animals do not get obstructed as they go about their daily business. "
Canary hills,hazaribagh, And as you climb up the hill walking past a serene dense forest enriched with lush greenery and a lake you will reach the spot which has a magnificent view of the eastern Hazaribagh. 
Hazaribagh Jheel,hazaribagh, Hazaribagh lake is a famous picnic spot and there are houses of prominent civil servants and AIR radio office in the vicinity. The lake is divided into four parts and the third lake is said to have the best view of sunrise and sunset. 
Urban haat,hazaribagh," This haat (market) exhibits the culture and beautiful artefacts by the people of Jharkhand which includes handlooms, furniture, dress, leather commodities and everything else. "
Narsimhasthan,hazaribagh," Just 6km away from Hazaribagh in village Kahapriama, there is a famous temple of lord Narsimha, incarnation of lord Vishnu and is revered as one of the most powerful gods. This beautiful temple has deity of lord Vishnu and a Shivalingam. "
Adi Kumbeshwara Temple,kumbakonam," Believed to have been constructed in the 7th century A.D by the Cholas, Adi Kumbeshwara Temple is one of the grandest and the oldest Shiva temple in the town. "
Nageswaran Temple,kumbakonam," Constructed as a chariot, the Nageswaran temple is an important Shaivite temple. A piece of genius Chola architecture, it is an important Shaivite temple. "
Shopping in Kumbakonam,kumbakonam," Kumbakonam is a great place for all the shoppers out there. A major center of the silk industry and metal works. Kumbakonam, is a great place to buy some exquisite silk products especially sarees. "
Mahamaham Tank,kumbakonam," Located in the center of the town, the Mahamaham Tank is a place of great reverence and religious importance for the people of South India. "
Sarangapani Temple,kumbakonam," One of the three major shrines of Lord Vishnu and one of the Divya Desams, the Sarangapani temple is a giant temple with twelve storey high tower was constructed in its present form by the Nayak Kings in the 15th century. "
Airavatesvara Temple,kumbakonam," Located in the town of Darasuram near Kumbakonam in Tamil Nadu, Airavatesvara Temple is a revered Hindu temple and a UNESCO world heritage site. Part of the popular trio known as the Great Living Chola Temple. "
Kashi Viswanath Temple,kumbakonam, Kashi Viswanath Temple is an important temple and is linked with the origins of the Mahamaham Festival. The temple another beautiful representation of Chola architecture is known to house the deities of all the river goddesses in Hindu mythology. 
"Swaminathaswamy Temple, Swamimalai",kumbakonam," Perched atop a hill in the Swamimalai district of Kumbakonam, Tamil Nadu, Swaminathaswamy Temple is enshrined by Murugan, son of the Hindu God Lord Shiva who is also known as Swaminathaswamy.  "
Uppiliappan Temple,kumbakonam," Located in the village of Thirunageswaram, near Kozhikode, Uppiliappan Temple is a revered Hindu temple. Also known as Thiruvinnagar of Venkatachalapathy Temple, the temple enshrine Lord Vishnu and constructed in the Dravidian style of architecture.  "
Thenupuriswarar Temple,kumbakonam," Located in the holy village of Patteeswaram in Kumbakonam, Thenupuriswarar Temple is a revered Hindu shrine dedicated to Lord Shiva. Believed to have been built during the reign of the Cholas, the current standing structure was completed by the Nayaks in the 16th century.  "
Suryanar Koil Temple,kumbakonam," Located in the tiny village of Suryanar Koil near the town of Kumbakonam in Tamil Nadu, Suryanar Koil Temple (also known as Sri Suryanar Temple) is dedicated to the Hindu Sun God. Presided by Suriyanar, the Sun and its consorts- Ushadevi and Pratyusha Devi, the temple also houses the planetary deities. "
Mahalingeswarar Temple,kumbakonam," Located in the district of Tiruvidaimaruthur in Tamil Nadu, Mahalingeswarar Temple (also known as Thiruvidaimarudur Temple) is a highly revered temple by the Hindu sect of Savism. Enshrined by the Hindu God Shiva colloquially known as Mahalingeswararswamy, the presiding deity is represented by his lingam known and the venerated idol is known as Jothimayalingam.  "
Kampaheswarar Temple,kumbakonam," Located in the town of Thirubuvanam, 9 kms from Kumbakonam in Tamil Nadu, Kampaheswarar Temple (also known as Sarabeswarar Temple) is an age-old Shaivite temple flocked by devotees from all across the world all through the year. The temple is enshrined by Lord Shiva, worshipped in the form of a Shiva Linga. "
Kanjanur Sukran Temple,kumbakonam," Located in the village of Kanjanur, 18 kms from the city of Kumbakonam, Kanjanur Sukran Temple (also known as Agneeswarar Temple) is a Hindu Temple dedicated to Sukra (celestial deity- Venus). However, the presiding deity of the shrine is Lord Shiva in the form of Agniswarar.  "
Brahma Temple,kumbakonam," Located in the Thanjavur district of Kumbakonam in Tamil Nadu, Brahma Temple is a Hindu Temple mainly dedicated to Lord Vishnu colloquially known as Vedanarayanaperumal. His consort- Goddess Lakshmi enshrines the chamber next to the presiding deity, and she is known as Vedavalli. Lord Brahma occupies the shrine adjacent to the sanctum sanctorum on the right. "
Chakrapani Temple,kumbakonam," Chakrapani Temple is a revered Hindu temple dedicated to Lord Vishnu (locally known as Chakrapani) located in the Kumbakonam city of Tamil Nadu. One of the most prominent temples in the area, the shrine has a magnificent idol of Lord Vishnu with his chakra (discus) to bring down the pride of Surya- the Sun God, who subsequently became his devotee.  "
Kalyanasundaresar Temple,kumbakonam," Located in Nallur (also called Thirunallur) on the outskirts of Kumbakonam city, Kalyanasundaresar Temple is dedicated to Lord Shiva. The lingam of Lord Shiva enshrines the temple and is known as Kalyanasundaresar and his consort Goddess Parvathy is portrayed as Girisundari. Like the other Saivite temples in the area, this is also revered in the Tamil canonical work- Tevaram.  "
Someswarar Temple,kumbakonam," Located at a distance of 6 kms away from the town of Kumbakonam, Someswarar Temple is a revered Hindu temple dedicated to Lord Shiva. Also known as Pazhayarai Someswarar Temple or Keezh Pazhayarai Vadathali, the temple is believed to have been built during the Chola Period sometime between the 8th and the 9th century.  "
Ayyavadi Pratyangira Devi Temple,kumbakonam," Located 6 kms from Kumbakonam, in the village of Ayyavadi, the famous Pratyangira Devi Temple is enshrined by Goddess Pratyangira - an incarnation of Goddess Kali. Believed to be at least a 1000 years old, the shrine is related to the times of the Mahabharata.  "
Thirunageswaram Temple,kumbakonam," Situated in the village of Thirunageswaram, on the outskirts of Kumbakonam in Tamil Nadu, Thirunageswaram Temple (also known as Rahu Temple) is an ancient Hindu temple dedicated to Lord Shiva. Revered by the Shiva bhakts, the temple is also associated with the nine planets- Navagraha Sthalam especially Rahu.  "
Varahaperumal Temple,kumbakonam," Located at Thanjavur district in Kumbakonam, Varahaperumal Temple is a revered Hindu temple dedicated to God Vishnu. Situated just behind the Chakrapani temple, the shrine dates back to the Varaha Avatar period and hence is called Varahaperumal.  "
